"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","696330","TestLPSSuite/TestDevLocalInfo","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","2941100","TestLPSSuite","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","20","TestSecuritySuite/TestControllerSigningCertChange","","2026-09-03","failed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","447240","TestPcibackErrorSuite/TestReportMissingDevice","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","2560100","TestAppsSuite","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","25460","TestPcibackErrorSuite/TestReportAssignmentGroupConflict","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","312220","TestAppsSuite/TestAppRestart","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","392080","TestLPSSuite/TestNetworkLocalChanges","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","371350","TestAppsSuite/TestVNC","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","999380","TestLPSSuite/TestProfile","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","19290","TestPcibackErrorSuite/TestReportWarningPlusError","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","92150","TestAppsSuite/TestAppInstanceMetadata","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","20","TestSecuritySuite/TestControllerEncryptCertChange","","2026-09-03","failed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","8029","TestPcibackErrorSuite/TestReportParentAssigngrp","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","126680","TestSecuritySuite/TestAppArmorEnabled","","2026-09-03","failed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","273350","TestAppsSuite/TestAppUserData","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","969950","TestPcibackErrorSuite","","2026-09-03","passed","2026-09-03","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
