"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","847750","TestStorageSuite/TestZFSDiskLayout","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/storage","github.com/lf-edge/eve/evetest/tests/storage",""
"","400150","TestSecuritySuite/TestControllerEncryptCertChange","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","16960","TestTelemetrySuite/TestDeviceLogs","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/telemetry","github.com/lf-edge/eve/evetest/tests/telemetry",""
"","589390","TestLPSSuite/TestDevLocalInfo","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","422190","TestStorageSuite/TestVolumeSizeAlignment","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/storage","github.com/lf-edge/eve/evetest/tests/storage",""
"","166690","TestLPSSuite/TestRadioSilence","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","82760","TestAppsSuite/TestAppInstanceMetadata","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","596870","TestDeviceConnectivitySuite/TestPNACWithoutProxy","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","332730","TestNodeClusterSuite/TestAppInstancePurge","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/cluster","github.com/lf-edge/eve/evetest/tests/cluster",""
"","2390950","TestLPSSuite","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","521409","TestApplicationConnectivitySuite/TestLocalNI","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","220400","TestApplicationConnectivitySuite/TestMoveAppBetweenNIs","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
